ID,intro grade
1e4or03,92
1e878ni,0
1e8nyit,94
1ebsx0p,96
1edivfp,74
1edjzq6,73
1edkg65,78
1edrorx,81
1ee1ypw,81
1ee5bii,92
1eefjtk,83
1eewdl5,83
1ef6wc5,91
1efbfls,59
1egxrbv,85
1egxskr,93
1eh4au9,100
1eh4omu,66
1eh5ohe,95
1ehauth,73
1ehcti4,89
1ehhuun,92
1ehum3s,91
1ehuqjp,87
1ehvbl7,76
1eis155,92
1eix7pn,81
1ejd4qw,70
1ejiaoy,91
1ejstod,88
1ejzpyv,0
1ek3u71,89
1ekds4y,82
1ekhtbp,85
1ekz48i,83
1ekzybg,83
1el6nlg,89
1eldmrr,78
1elgmbf,85
1elgvqw,91
1elim65,93
1elog4b,88
1em8c05,59
1embr7q,96
1eme9gk,0
1emlx6m,79
1esy8wz,0
1etjb9u,87
1ewfmwd,55
1ewzrwg,81
1ex25xs,89
1ex6eg9,74
1ex8z42,94
1ex9g9a,91
1exiru0,70
1exoonz,95
1extqvd,81
1exupv2,59
1exvmcz,69
1exvo5i,79
1ey3edc,94
1ey6hno,93
1ey7ry6,83
1ey9ozw,81
1eycr1c,86
1eydv90,93
1eyj6ng,78
1eykvle,59
1eymxbg,90
1eyvbds,0
1eyxjni,0
1eyybjw,0
1ezc4wy,88
1ezi9p3,91
1ezrl47,89
1ezuhmg,0
1ezyw25,86
1f00yk9,95
1f0aumu,84
1f0bsm2,89
1f0c4jb,59
1f0cl23,81
1f0i5t7,82
1f0ni5b,88
1f0o99n,75
1f0q8hx,70
1f0rpew,87
1f0rx4n,100
1f10n71,78
1f11ke7,89
1f15jbl,76
1f1czpx,75
1f1guim,83
1f1hcfw,81
1f1kgl3,87
1f1q94r,87
1f1qp9i,81
1f1qsdq,94
1f1qyul,92
1f1u0kt,74
1f1u4sb,83
1f1u5by,84
1f1zdoz,85
1f21nd7,89
1f256sa,83
1f25979,85
1f2bqzx,88
1f2degk,91
1f2ikbt,76
1f2j5db,78
1f2jzg9,74
1fc80d0,90
1ffoobc,87
1ffvxjk,83
1fg30oy,93
1fgy6db,69
1fh1xtd,70
1fh52qm,86
1fhdeme,0
1fhnb30,92
1fhvxeq,97
1fi2pc4,70
1fikth0,93
1filyxk,75
1fjghrw,87
1fjk1z1,78
1flek1p,93
1frx5pd,68
1fty6nz,87
1fu1lyd,87
1fu415s,37
1fzfe1o,76
1g0up9r,59
1g0vs2x,0
1g17grb,77
1g1r3wx,96
1g51jf9,83
1g6rjms,59
1g6s78v,93
1g74ug4,58
1g7ils8,0
1gb6jl8,84
1gbw2bx,0
1gc0oy7,0
1gc49ay,76
1gcnwm6,85
1gd11wb,97
1gd3o9u,74
1gde9a7,59
1gh4kqi,88
1gk9444,71
1gkrr3y,40
1glhn6e,0
1gm0dzp,0
1gm225l,0
1go00zy,0
1go87yz,0
1godcij,86
1gp186m,0
1gp8apk,0
1gpd22z,92
1gpg3hz,0
1gq3tva,0
1gq4fgf,61
1gq5abf,55
1gq7wdq,0
1gqfyof,0
1gqgfct,0
1gqnviq,0
1gqpmq1,0
1gqt7uu,0
1gqtu2f,0
1gqu9f4,90
1gqvmr1,91
1gs1mmt,0
1gs3kp0,80
1gs99f7,85
1gsvk1m,50
1gsxbhc,0
1gt354a,0
1gtcoer,89
1gtzoo7,0
1gu84x3,0
1guf98k,0
1guhsyp,0
1guht1i,91
1gukyie,76
1gvame9,89
1gvpamb,0
1gvrhbx,0
1gx2lwv,25
1gzwhpj,93
1h0k0wq,85
1h0xbvo,81
1h258f5,89
1h52z0i,88
1hb1awy,0
1hbjcmv,78
1hdb7sd,85
1hmvdfl,0
1hnovyj,75
1hnuwj6,0
1hrf6ms,0
1ht35qp,82
1i02ize,0
1i2c5vp,78
1ilr68e,0
1im41b0,100
1imejz7,78
1ip874g,83
1iw10xk,89
1j29yb7,84
1jjhb8a,84
1jkfi61,86
1jkiajl,83
1jss73b,89
1k5hcsj,91
1k5tioy,79
1ke9r44,67
1kea29b,59
33e99oy,72
44e9dk7,99
5bx0qh,18
5hffg2,80
5yoltt,99
60g2bv,89
62nti5,0
65m0dv,83
6d28y9,0
6evp5f,34
6m5u3r,97
b4yo9u,77
b5adqa,76
help,0
hntzd,81
hvkz9,0
lr3ux,71
m5ms7,80
m9abz,77
mg78x,59
mo2gb,70
mqrh8,72
mrilk,67
mrst3,71
mses9,91
mx0s3,77
my4oj,86
mz5md,59
n4tq4,88
nasff,70
nclcg,50
ncnde,66
nek13,82
nfzb5,34
ng6mv,66
nml5p,0
nnpzt,84
Return to:Moodle,0
xfcpoc,79
xfvhtc,71
xh1xd1,59
xh60hx,0
xhamsz,93
xhkflq,84
xhyk16,97
xiq1dp,87
xiqgf6,86
xiqn4g,92
xj1krb,59
xj8epn,0
xjf5xs,84
xjm0ik,88
xjr6b0,0
xjulo7,84
xjus52,97
xjxmxl,76
xkbomu,77
xkbwl0,88
xkcb5n,62
xkd7vz,0
xkfq20,87
xkm8xy,97
xl7dsl,80
xn4enq,80
xn4rzh,95
xnfu7v,94
xnjn2f,92
xnlcee,94
xob88f,98
xoiov6,86
xolnv7,91
xws8ms,87
xwv8yi,86
xwvdef,87
xx80d9,82
xxg1c9,59
xxg2ny,88
xxlr5q,0
xxp33h,0
xy4egs,79
xya3qm,81
xyb0s6,81
xye8if,82
xyijlh,86
xylni9,72
xylqxp,83
xym6it,92
xyq6rw,82
xysoh3,83
xz2w03,83
xzcivm,100
xzfkg8,95
xzh32x,84
xzm93s,99
xzn15s,98
xzr10u,88
xzt6kd,93
xzvcnj,0
xzxfgv,0
xzy35r,86
y032bq,90
y04y7d,85
y055ub,82
y05j8v,72
y05lcm,76
y09yru,81
y0hiof,92
y0pvt3,87
y1e43o,91
y1kfti,82
y1kg4q,89
y1m70t,97
y1mbdx,59
y1mxaa,89
y1se2b,86
y1vity,76
y1x51p,0
y1ypgx,86
y25a5e,73
y2a8gi,59
y2jeyv,59
y2sahn,66
y322wd,59
y37iqq,97
y39kjl,74
y39xhb,79
y39yym,82
y3iknw,70
y3m6vz,80
y3ow5b,65
y3ybp4,27
y46m6e,75
y4b1e5,81
y4bsih,89
y4ezb2,69
y4irar,74
y4nget,87
y4t0b2,82
y58khe,89
y73ai8,91
y79gxa,0
yaweq4,61
yb93yb,99
ybjtpt,76
yd1koy,0
yd4vun,0
yespql,0
yfonjr,0
yg1v8v,0
yg6lx1,87
yjpzlj,0
yk4fsm,0
yk61ur,80
yka4d7,0
yks1n7,38
yl0ucz,76
yl19eg,92
ynfxkh,0
yng0ub,72
yp4die,58
yq7cit,0
yqn5ck,0
yqnmkl,0
yrh6i1,0
ysexm9,94
ysuzso,48
ytdz3s,0
ytl36u,0
ytzmky,0
yuigtp,68
ywdpjv,55
ywgiph,87
ywj485,0
yyvgxf,46
